cat,open_lo,open_hi,zbc_max,fbt_max,hs_max,mv_lo,mv_hi,top_n,hold_days,cost,prefer_open,n,days,win_rate,avg_ret,median_ret,comp_ret,max_dd,raw_n,raw_wr
一进二,0.5,1.5,0,103000,22,30,90,2,3,0.0015,1.0,24,24,0.6666666666666666,0.01684450379893627,0.02856978123961401,0.37447280805601624,-0.3042601354788079,27,0.6296296296296297
一进二,0.5,1.5,0,103000,12,20,120,2,3,0.0015,1.0,18,18,0.6666666666666666,0.01053325094765981,0.021151887694880134,0.16025424272435562,-0.19429501402075522,23,0.5652173913043478
二进三,0.0,2.0,0,103000,8,25,100,1,3,0.0015,1.0,15,15,0.6666666666666666,0.06747748343138844,0.08157692307692305,1.3171725485041792,-0.4003046751037219,15,0.6666666666666666
二进三,0.0,2.0,0,103000,8,25,100,2,3,0.0015,1.0,15,15,0.6666666666666666,0.06747748343138844,0.08157692307692305,1.3171725485041792,-0.4003046751037219,15,0.6666666666666666
二进三,0.0,2.0,1,100000,8,25,100,1,3,0.0015,1.0,15,15,0.6666666666666666,0.06546845269450262,0.07920500927643787,1.2513924966225223,-0.41319812458899186,15,0.6666666666666666
二进三,0.0,2.0,2,100000,8,25,100,1,3,0.0015,1.0,15,15,0.6666666666666666,0.06546845269450262,0.07920500927643787,1.2513924966225223,-0.41319812458899186,15,0.6666666666666666
二进三,0.0,2.0,1,100000,8,25,100,2,3,0.0015,1.0,15,15,0.6666666666666666,0.06546845269450262,0.07920500927643787,1.2513924966225223,-0.41319812458899186,15,0.6666666666666666
二进三,0.0,2.0,2,100000,8,25,100,2,3,0.0015,1.0,15,15,0.6666666666666666,0.06546845269450262,0.07920500927643787,1.2513924966225223,-0.41319812458899186,15,0.6666666666666666
二进三,0.0,2.2,0,103000,8,30,90,1,3,0.0015,1.0,15,15,0.6666666666666666,0.06348242689105192,0.05462682090831189,1.2560118897906531,-0.3330254175470897,15,0.6666666666666666
二进三,0.0,2.2,0,103000,8,30,90,2,3,0.0015,1.0,15,15,0.6666666666666666,0.06348242689105192,0.05462682090831189,1.2560118897906531,-0.3330254175470897,15,0.6666666666666666
一进二,0.5,1.5,1,100000,16,20,120,1,3,0.0015,1.0,15,15,0.6666666666666666,0.026782248949699047,0.022736983842010672,0.4004660870058008,-0.19185244910753363,19,0.5789473684210527
一进二,0.5,1.5,1,100000,16,20,120,2,3,0.0015,1.0,15,15,0.6666666666666666,0.014225077658003852,0.01945336687481708,0.1813414755445939,-0.19185244910753363,22,0.5
一进二,0.5,1.5,0,103000,12,25,100,2,3,0.0015,1.0,15,15,0.6666666666666666,0.006382980822209705,0.013335787089467754,0.06850888319974602,-0.17865891262419775,20,0.55
二进三,0.0,2.0,1,100000,8,30,90,1,3,0.0015,1.0,12,12,0.6666666666666666,0.06341363451638295,0.05617178174665266,0.9173397004857697,-0.27006887323375073,12,0.6666666666666666
二进三,0.0,2.0,2,100000,8,30,90,1,3,0.0015,1.0,12,12,0.6666666666666666,0.06341363451638295,0.05617178174665266,0.9173397004857697,-0.27006887323375073,12,0.6666666666666666
二进三,0.0,2.0,1,100000,8,30,90,2,3,0.0015,1.0,12,12,0.6666666666666666,0.06341363451638295,0.05617178174665266,0.9173397004857697,-0.27006887323375073,12,0.6666666666666666
二进三,0.0,2.0,2,100000,8,30,90,2,3,0.0015,1.0,12,12,0.6666666666666666,0.06341363451638295,0.05617178174665266,0.9173397004857697,-0.27006887323375073,12,0.6666666666666666
二进三,0.0,2.2,1,100000,8,30,90,1,3,0.0015,1.0,12,12,0.6666666666666666,0.06341363451638295,0.05617178174665266,0.9173397004857697,-0.27006887323375073,12,0.6666666666666666
二进三,0.0,2.2,2,100000,8,30,90,1,3,0.0015,1.0,12,12,0.6666666666666666,0.06341363451638295,0.05617178174665266,0.9173397004857697,-0.27006887323375073,12,0.6666666666666666
