code,name,nmc
600971,恒源煤电,1072804.366296
600973,宝胜股份,832419.312536
600975,新五丰,698560.91266
600976,健民集团,430002.573
600977,中国电影,2369223.0
600979,广安爱众,491707.836576
600980,北矿科技,364900.078128
600981,苏豪汇鸿,556123.431616
600982,宁波能源,545402.21268
600983,惠而浦,583260.079
600984,建设机械,466363.296175
600985,淮北矿业,4589312.840136
600986,浙文互联,1124454.790872
600987,航民股份,665573.905196
600988,赤峰黄金,7602411.086082
600989,宝丰能源,17893398.4
600990,四创电子,508164.982744
600992,贵绳股份,244599.82
600993,马应龙,992313.229596
600995,南网储能,3988615.24464
600996,贵广网络,882734.296632
600997,开滦股份,874877.717901
600998,九州通,2546447.46817
600999,招商证券,13760397.774288
601000,唐山港,2779260.519966
601001,晋控煤业,2815163.4
601002,晋亿实业,515397.9888
601003,柳钢股份,993101.607667
601005,重庆钢铁,997636.38804
601006,大秦铁路,9593777.211774
601007,金陵饭店,276900.0
601008,连云港,554565.188682
601009,南京银行,14811553.55951
601011,宝泰隆,555542.71631
601012,隆基绿能,8919378.505554
601015,陕西黑猫,749596.633513
601016,节能风电,2016778.925504
601018,宁波港,6750672.774453
601019,山东出版,1485872.8
601020,华钰矿业,1853940.182178
601021,春秋航空,4293905.393547
601022,宁波远洋,1092708.83389
601026,道生天合,164184.64982
601033,永兴股份,351120.0
601038,一拖股份,1067557.996225
601058,赛轮轮胎,5050521.997824
601059,信达证券,5552016.0
601061,中信金属,5654600.0
601065,江盐集团,442229.942352
601066,中信建投,16421056.37648
601068,中铝国际,1164613.753485
601069,西部黄金,2661565.329
601077,渝农商行,6116063.747028
601083,锦江航运,256820.76
601086,国芳集团,842490.0
601088,中国神华,78513831.703755
601089,福元医药,781440.0
601096,宏盛华源,688407.170679
601098,中南传媒,1824736.0
601099,太平洋,2440241.26046
601100,恒立液压,13278150.283776
601101,昊华能源,1995837.125436
601106,中国一重,2077908.226881
601107,四川成渝,1252226.46
601108,财通证券,4063297.86625
601111,中国国航,6819932.151764
601112,振石股份,282696.4595
601113,华鼎股份,383140.822422
601116,三江购物,622162.6624
601117,中国化学,4488692.762204
601118,海南橡胶,3008437.741291
601121,宝地矿业,579200.0
601123,C马矿,168082.764532
601126,四方股份,3378724.713
601127,赛力斯,7711271.197184
601128,常熟银行,2342131.074648
601133,柏诚股份,1220772.340032
601136,首创证券,4247600.7252
601137,博威合金,1889505.226056
601138,工业富联,126387023.7568
601139,深圳燃气,1855500.173475
601155,新城控股,2742837.392896
601156,东航物流,1818346.4453
601158,重庆水务,1977612.409028
601162,天风证券,3293022.691542
601163,三角轮胎,995200.0
601166,兴业银行,38558730.032686
601168,西部矿业,9243657.0
601169,北京银行,11840071.19232
601177,杭齿前进,562578.267
601179,中国西电,6458611.76352
601186,中国铁建,7028483.0005
601187,厦门银行,1896033.66624
601188,龙江交通,385113.624925
601198,东兴证券,4580375.30184
601199,江南水务,547098.02082
601200,上海环境,936976.254696
601208,东材科技,4659973.916059
601211,国泰海通,24033584.630888
601212,白银有色,5405485.39303
601216,君正集团,4067124.38198
601218,吉鑫科技,436065.0804
601222,林洋能源,1210443.552508
601225,陕西煤业,25439680.0
601226,华电科工,753120.9576
601228,广州港,2353893.781512
601229,上海银行,13654886.226257
601231,环旭电子,5907837.931694
601233,桐昆股份,6174147.772
601236,红塔证券,3336889.164966
601238,广汽集团,3817371.656615
601279,英利汽车,537581.448915
601288,农业银行,222193970.70079
601298,青岛港,4966101.075
601311,骆驼股份,898629.926388
601318,中国平安,62084219.043392
601319,中国人保,28362707.509817
601326,秦港股份,1703206.122
601328,交通银行,19345750.160198
601330,绿色动力,783363.426912
601333,广深铁路,1769150.181
601336,新华保险,12981859.8915
601339,百隆东方,1127675.888
601360,三六零,6285602.975342
601366,利群股份,364701.62294
601368,绿城水务,399986.803881
601369,陕鼓动力,1458810.65466
601375,中原证券,1427273.1558
601377,兴业证券,5147048.427224
601388,怡球资源,748415.68944
601390,中国中铁,8922201.024431
601398,工商银行,219194728.79421
601399,国机重装,2308337.8848
601456,国联民生,3908644.583981
601500,通用股份,626868.29106
601512,中新集团,1287546.51
601515,衢州东峰,638924.262772
601518,吉林高速,544479.312672
601519,大智慧,1780298.2
601528,瑞丰银行,961289.318948
601555,东吴证券,4208491.302939
601566,九牧王,603943.64465
601567,三星电气,1881575.3866
601568,北元化工,1513416.667344
601577,长沙银行,4040787.043125
601579,会稽山,1154068.425463
601588,北辰实业,470820.0
601595,上海电影,840375.0
601598,中国外运,3357513.117777
601599,浙文影业,382979.00949
601600,中国铝业,12767629.688135
601601,中国太保,23416886.817555
601606,长城军工,2521039.0604
601607,上海医药,4635662.87331
601608,中信重工,2198185.64976
601609,金田股份,2306003.349462
601611,中国核建,3194664.26472
601615,明阳智能,2105453.433286
601616,广电电气,326103.971858
601618,中国中冶,4552417.88835
601619,嘉泽新能,1053831.525344
601628,中国人寿,81565767.01
601633,长城汽车,9282569.836068
601636,旗滨集团,1718977.815968
601658,邮储银行,39310067.92791
601665,齐鲁银行,4436920.460525
601666,平煤股份,2296509.55137
601668,中国建筑,18180971.79536
601669,中国电建,6052116.46855
601677,明泰铝业,2070078.893955
601678,滨化股份,1228045.101876
601686,友发集团,775177.998824
601688,华泰证券,14292018.855336
601689,拓普集团,7962762.62756
601696,中银证券,3366936.0
601698,中国卫通,10138524.9888
601699,潞安环能,4935825.18
601700,风范股份,874565.6064
601702,华峰铝业,1572685.695
601717,中创智领,2231513.81131
601727,上海电气,8364169.078668
601728,中国电信,49527766.909962
601766,中国中车,15204873.78
601777,千里科技,3648527.757297
601778,晶科科技,1332849.930284
601788,光大证券,5723313.799135
601789,宁波建工,470583.78947
601798,蓝科高新,276177.466242
601799,星宇股份,2180305.325808
601800,中国交建,6998555.228163
601801,皖新传媒,1025955.968188
601808,中海油服,3700585.0
601811,新华文轩,909897.5811
601816,京沪高铁,23973582.8913
601818,光大银行,14154078.746105
601825,沪农商行,8498501.576497
601827,三峰环境,1344234.3732
601828,美凯龙,794728.49258
601838,成都银行,8260710.508844
601857,中国石油,180866960.92271
601858,中国科传,1699575.0
601860,紫金银行,937645.621704
601865,福莱特,1882015.28757
601866,中远海发,2369344.36368
